Investigator;;Time (s);Electrode;Amplitude (mV)
;;4.5932;B3_23;0.028
;;4.59504;B3_24;0.034
;;4.5956;B3_42;0.048
;;4.59584;B3_12;0.126
;;4.59584;B3_14;0.021
;;4.5964;B3_23;0.018
;;4.5964;B3_33;0.027
;;4.59752;B3_34;0.02
;;4.59776;B3_24;0.08
;;4.59824;B3_31;0.02
;;4.5984;B3_12;0.006
;;4.59888;B3_42;0.034
;;4.59992;B3_13;0.039
;;4.60056;B3_14;0.021
;;4.60064;B3_24;0.018
;;4.60136;B3_22;0.032
;;4.60168;B3_23;0.021
;;4.60184;B3_42;0.024
;;4.60376;B3_22;0.062
;;4.60424;B3_24;0.048
;;4.60464;B3_12;0.029
;;4.60648;B3_24;0.043
;;4.60696;B3_31;0.024
;;4.60896;B3_33;0.017
;;4.61176;B3_34;0.017
;;4.61208;B3_24;0.024
;;4.61312;B3_13;0.043
;;4.61376;B3_12;0.143
;;4.61448;B3_24;0.101
;;4.6148;B3_42;0.058
;;4.61576;B3_31;0.024
;;4.61664;B3_23;0.052
;;4.6172;B3_24;0.05
;;4.61768;B3_34;0.016
;;4.61776;B3_12;0.05
;;4.61776;B3_33;0.022
;;4.618;B3_14;0.026
;;4.6184;B3_42;0.043
;;4.61992;B3_23;0.018
;;4.62008;B3_12;0.029
;;4.62136;B3_22;0.035
;;4.62152;B3_24;0.058
;;4.62256;B3_23;0.014
;;4.62464;B3_24;0.041
;;4.63592;B3_34;0.016
;;4.65936;B3_42;0.056
;;4.66096;B3_22;0.038
;;4.66144;B3_23;0.026
;;4.66248;B3_31;0.025
;;4.66368;B3_42;0.038
;;4.66616;B3_22;0.033
;;4.66656;B3_42;0.015
;;4.6668;B3_31;0.03
;;4.66952;B3_31;0.025
;;4.67064;B3_42;0.047
;;4.67144;B3_23;0.025
;;4.6748;B3_42;0.013
;;4.67584;B3_33;0.024
;;4.67584;B3_44;0.015
;;4.6768;B3_34;0.022
;;4.6772;B3_23;0.187
;;4.67728;B3_24;0.034
;;4.67968;B3_12;0.014
;;4.67968;B3_13;0.045
;;4.68016;B3_23;0.084
;;4.68056;B3_24;0.14
;;4.68096;B3_33;0.023
;;4.68096;B3_44;0.018
;;4.68176;B3_14;0.019
;;4.68232;B3_12;0.191
;;4.68288;B3_23;0.049
;;4.68384;B3_22;0.057
;;4.68392;B3_24;0.078
;;4.6844;B3_14;0.016
;;4.68456;B3_34;0.03
;;4.68536;B3_12;0.016
;;4.68616;B3_33;0.025
;;4.68696;B3_13;0.022
;;4.68712;B3_24;0.045
;;4.68776;B3_12;0.11
;;4.688;B3_23;0.015
;;4.6904;B3_24;0.038
;;4.6908;B3_12;0.013
;;4.69088;B3_13;0.033
;;4.69592;B3_34;0.024
;;4.6972;B3_23;0.026
;;4.6992;B3_12;0.016
;;4.702;B3_42;0.017
;;4.70368;B3_31;0.021
;;4.70672;B3_31;0.024
;;4.70768;B3_42;0.082
;;4.7088;B3_12;0.025
;;4.71088;B3_42;0.017
;;4.7112;B3_31;0.017
;;4.71304;B3_23;0.029
;;4.7152;B3_12;0.027
;;4.71816;B3_23;0.018
;;4.71824;B3_42;0.022
;;4.71912;B3_31;0.019
;;4.75008;B3_31;0.019
;;4.75488;B3_31;0.028
;;4.75736;B3_23;0.023
;;4.75968;B3_31;0.019
;;4.76088;B3_42;0.041
;;4.76248;B3_22;0.033
;;4.76344;B3_42;0.026
;;4.76408;B3_31;0.017
;;4.7688;B3_31;0.015
;;4.77048;B3_42;0.071
;;4.7724;B3_31;0.021
;;4.77336;B3_42;0.02
;;4.77344;B3_12;0.012
;;4.774;B3_23;0.026
;;4.77472;B3_33;0.025
;;4.77488;B3_31;0.019
;;4.77504;B3_44;0.015
;;4.77608;B3_42;0.023
;;4.77752;B3_23;0.15
;;4.77928;B3_42;0.022
;;4.78544;B3_24;0.022
;;4.78592;B3_13;0.021
;;4.78632;B3_12;0.123
;;4.78648;B3_22;0.06
;;4.78808;B3_24;0.135
;;4.7892;B3_34;0.033
;;4.78976;B3_12;0.028
;;4.79064;B3_23;0.075
;;4.79088;B3_24;0.103
;;4.79192;B3_13;0.021
;;4.79192;B3_33;0.02
;;4.79248;B3_12;0.097
;;4.79296;B3_23;0.01
;;4.79376;B3_24;0.063
;;4.79536;B3_31;0.019
;;4.79592;B3_12;0.018
;;4.7964;B3_23;0.025
;;4.7964;B3_24;0.031
;;4.7968;B3_34;0.029
;;4.79696;B3_13;0.04
;;4.79904;B3_23;0.023
;;4.80048;B3_13;0.022
;;4.80056;B3_12;0.037
;;4.80176;B3_23;0.036
;;4.80208;B3_24;0.032
