Investigator,,Time (s),Electrode,Amplitude (mV)
,,00008.275760,C4_32,0.019
,,00008.278960,C4_42,0.071
,,00008.292720,C4_42,0.054
,,00008.294080,C4_33,0.017
,,00008.295360,C4_42,0.017
,,00008.302720,C4_42,0.064
,,00008.306960,C4_12,0.031
,,00008.313040,C4_42,0.074
,,00008.313760,C4_33,0.023
,,00008.314880,C4_34,0.158
,,00008.315520,C4_32,0.017
,,00008.330160,C4_42,0.057
,,00008.338880,C4_12,0.024
,,00008.343520,C4_31,0.015
,,00008.505280,C4_42,0.019
,,00008.511680,C4_23,0.017
,,00008.527280,C4_31,0.02
,,00008.670240,C4_42,0.012
,,00008.795680,C4_42,0.013
,,00008.855120,C4_31,0.022
,,00008.896080,C4_23,0.022
,,00008.905040,C4_33,0.022
,,00008.939120,C4_42,0.019
,,00008.950880,C4_33,0.017
,,00008.977440,C4_42,0.015
,,00009.017440,C4_12,0.027
,,00009.056880,C4_12,0.03
,,00009.077040,C4_33,0.018
,,00009.087600,C4_32,0.019
,,00009.124000,C4_31,0.023
,,00009.302240,C4_12,0.029
,,00009.365840,C4_12,0.026
,,00009.554480,C4_12,0.033
,,00009.567440,C4_31,0.02
,,00009.579040,C4_23,0.02
,,00009.605520,C4_12,0.026
,,00009.618480,C4_33,0.019
,,00009.631520,C4_23,0.021
,,00009.641680,C4_42,0.017
,,00009.652960,C4_42,0.05
,,00009.657920,C4_34,0.031
,,00009.687440,C4_32,0.029
,,00009.731200,C4_42,0.064
,,00009.755120,C4_33,0.02
,,00009.784560,C4_42,0.075
,,00009.922880,C4_42,0.018
,,00009.991520,C4_42,0.015
,,00010.155440,C4_33,0.022
,,00010.175520,C4_31,0.02
,,00010.222720,C4_12,0.03
,,00010.242080,C4_34,0.013
,,00010.244880,C4_12,0.025
,,00010.333600,C4_34,0.013
,,00010.359600,C4_31,0.011
,,00010.360160,C4_42,0.017
,,00010.427760,C4_33,0.019
,,00010.535600,C4_32,0.016
,,00010.622400,C4_33,0.02
,,00010.631920,C4_23,0.025
,,00010.659360,C4_23,0.018
,,00010.970000,C4_23,0.02
,,00010.973440,C4_32,0.025
,,00010.982640,C4_31,0.021
,,00010.993840,C4_12,0.026
,,00011.007040,C4_12,0.027
,,00011.032880,C4_42,0.017
,,00011.060800,C4_34,0.028
,,00011.061680,C4_33,0.024
,,00011.062640,C4_42,0.076
,,00011.065040,C4_42,0.017
,,00011.072960,C4_42,0.025
,,00011.074000,C4_12,0.025
,,00011.076960,C4_34,0.031
,,00011.077360,C4_33,0.025
,,00011.078240,C4_23,0.027
